date,session_key,pressure,wind_speed,track_temperature,wind_direction,air_temperature,rainfall,humidity,meeting_key
2025-10-17T17:15:17.531000+00:00,9878,994.3,0.9,39.8,15,28.8,0,56.0,1271
2025-10-17T17:16:17.534000+00:00,9878,994.3,1.1,40.1,183,28.9,0,55.0,1271
2025-10-17T17:17:17.523000+00:00,9878,994.3,1.2,39.9,6,29.0,0,55.0,1271
2025-10-17T17:18:17.523000+00:00,9878,994.4,0.7,39.1,137,29.0,0,54.0,1271
2025-10-17T17:19:17.533000+00:00,9878,994.2,0.8,37.9,250,29.0,0,55.0,1271
2025-10-17T17:20:17.535000+00:00,9878,994.3,0.9,37.8,106,29.0,0,55.0,1271
2025-10-17T17:21:17.531000+00:00,9878,994.3,1.0,37.4,105,29.1,0,55.0,1271
2025-10-17T17:22:17.535000+00:00,9878,994.3,0.9,37.4,105,29.0,0,55.0,1271
2025-10-17T17:23:17.538000+00:00,9878,994.3,1.3,39.0,104,29.0,0,55.0,1271
2025-10-17T17:24:17.527000+00:00,9878,994.3,2.4,39.8,100,29.0,0,55.0,1271
2025-10-17T17:25:17.534000+00:00,9878,994.3,2.0,40.1,189,28.9,0,55.0,1271
2025-10-17T17:26:17.537000+00:00,9878,994.2,1.1,40.1,108,28.9,0,55.0,1271
2025-10-17T17:27:17.538000+00:00,9878,994.2,1.2,39.4,343,28.9,0,55.0,1271
2025-10-17T17:28:17.546000+00:00,9878,994.1,1.7,39.3,277,29.0,0,55.0,1271
2025-10-17T17:29:17.558000+00:00,9878,994.3,1.3,40.4,322,29.0,0,55.0,1271
2025-10-17T17:30:17.556000+00:00,9878,994.3,0.8,40.4,17,29.1,0,54.0,1271
2025-10-17T17:31:17.582000+00:00,9878,994.4,1.4,40.0,270,29.2,0,54.0,1271
2025-10-17T17:32:17.567000+00:00,9878,994.2,1.4,39.7,252,29.3,0,53.0,1271
2025-10-17T17:33:17.602000+00:00,9878,994.2,0.7,39.2,288,29.3,0,54.0,1271
2025-10-17T17:34:17.609000+00:00,9878,994.1,1.4,40.1,310,29.3,0,53.0,1271
2025-10-17T17:35:17.627000+00:00,9878,994.1,1.4,40.1,310,29.3,0,53.0,1271
2025-10-17T17:36:17.640000+00:00,9878,994.1,1.4,40.1,310,29.5,0,53.0,1271
2025-10-17T17:37:17.637000+00:00,9878,994.0,2.0,41.9,355,29.7,0,52.0,1271
2025-10-17T17:38:17.647000+00:00,9878,994.0,1.9,41.9,307,29.9,0,52.0,1271
2025-10-17T17:39:17.649000+00:00,9878,994.1,2.2,42.0,52,29.9,0,51.0,1271
2025-10-17T17:40:17.661000+00:00,9878,993.9,2.2,42.4,340,29.9,0,51.0,1271
2025-10-17T17:41:17.669000+00:00,9878,994.0,1.7,42.6,47,29.9,0,51.0,1271
2025-10-17T17:42:17.684000+00:00,9878,994.0,4.4,43.1,87,29.8,0,50.0,1271
2025-10-17T17:43:17.683000+00:00,9878,993.9,3.4,43.2,120,29.8,0,50.0,1271
2025-10-17T17:44:17.671000+00:00,9878,994.0,2.6,43.0,107,29.8,0,50.0,1271
2025-10-17T17:45:17.680000+00:00,9878,993.9,2.6,43.1,64,29.8,0,50.0,1271
2025-10-17T17:46:17.677000+00:00,9878,994.0,1.9,43.0,69,30.0,0,50.0,1271
2025-10-17T17:47:17.684000+00:00,9878,993.9,2.0,41.9,174,30.1,0,50.0,1271
2025-10-17T17:48:17.683000+00:00,9878,993.9,2.3,40.9,94,29.9,0,50.0,1271
2025-10-17T17:49:17.691000+00:00,9878,994.0,1.9,40.5,93,29.9,0,50.0,1271
2025-10-17T17:50:17.689000+00:00,9878,993.9,0.6,41.5,347,29.9,0,50.0,1271
2025-10-17T17:51:17.686000+00:00,9878,993.8,0.9,42.3,90,30.0,0,50.0,1271
2025-10-17T17:52:17.677000+00:00,9878,993.8,0.7,42.7,339,30.1,0,49.0,1271
2025-10-17T17:53:17.692000+00:00,9878,993.8,1.9,43.4,336,30.1,0,49.0,1271
2025-10-17T17:54:17.688000+00:00,9878,993.8,0.9,43.7,104,30.1,0,49.0,1271
2025-10-17T17:55:18.102000+00:00,9878,993.8,2.2,43.6,105,30.2,0,48.0,1271
2025-10-17T17:56:17.686000+00:00,9878,993.8,3.6,42.9,92,30.2,0,47.0,1271
2025-10-17T17:57:17.690000+00:00,9878,993.6,6.0,41.8,102,30.2,0,48.0,1271
2025-10-17T17:58:17.680000+00:00,9878,993.7,3.4,42.2,103,30.3,0,49.0,1271
2025-10-17T17:59:17.695000+00:00,9878,993.8,3.8,42.4,96,30.3,0,49.0,1271
2025-10-17T18:00:17.690000+00:00,9878,993.6,3.2,42.4,70,30.3,0,49.0,1271
2025-10-17T18:01:17.709000+00:00,9878,993.7,2.2,42.3,103,30.5,0,49.0,1271
2025-10-17T18:02:17.705000+00:00,9878,993.6,2.6,42.3,110,30.5,0,48.0,1271
2025-10-17T18:03:17.682000+00:00,9878,993.7,2.4,41.8,120,30.6,0,48.0,1271
2025-10-17T18:04:17.698000+00:00,9878,993.7,0.9,41.6,91,30.6,0,48.0,1271
2025-10-17T18:05:17.689000+00:00,9878,993.7,1.9,41.9,83,30.5,0,48.0,1271
2025-10-17T18:06:17.693000+00:00,9878,993.6,1.5,42.4,47,30.3,0,49.0,1271
2025-10-17T18:07:17.716000+00:00,9878,993.4,1.4,42.7,81,30.1,0,49.0,1271
2025-10-17T18:08:17.694000+00:00,9878,993.5,2.2,43.5,90,29.9,0,49.0,1271
2025-10-17T18:09:17.697000+00:00,9878,993.4,4.1,43.6,66,29.9,0,50.0,1271
2025-10-17T18:10:17.707000+00:00,9878,993.4,2.9,43.7,96,29.9,0,50.0,1271
2025-10-17T18:11:17.699000+00:00,9878,993.5,2.1,44.3,118,29.9,0,50.0,1271
2025-10-17T18:12:17.715000+00:00,9878,993.4,1.9,44.8,81,30.1,0,49.0,1271
2025-10-17T18:13:17.703000+00:00,9878,993.3,2.5,44.8,24,30.4,0,48.0,1271
2025-10-17T18:14:17.712000+00:00,9878,993.3,2.2,45.1,100,30.4,0,48.0,1271
2025-10-17T18:15:17.715000+00:00,9878,993.3,3.2,45.1,101,30.5,0,47.0,1271
2025-10-17T18:16:17.710000+00:00,9878,993.3,3.3,44.6,103,30.5,0,47.0,1271
2025-10-17T18:17:18.548000+00:00,9878,993.2,3.1,44.5,88,30.4,0,48.0,1271
2025-10-17T18:18:17.745000+00:00,9878,993.3,1.8,44.7,99,30.3,0,48.0,1271
2025-10-17T18:19:17.744000+00:00,9878,993.1,2.5,44.9,106,30.2,0,48.0,1271
2025-10-17T18:20:17.773000+00:00,9878,993.2,3.4,45.2,104,30.2,0,46.0,1271
2025-10-17T18:21:17.777000+00:00,9878,993.2,2.9,45.0,96,30.3,0,46.0,1271
2025-10-17T18:22:17.760000+00:00,9878,993.1,3.7,42.6,78,30.5,0,47.0,1271
2025-10-17T18:23:17.793000+00:00,9878,993.1,3.5,41.8,99,30.5,0,48.0,1271
2025-10-17T18:24:17.772000+00:00,9878,993.1,2.7,41.8,99,30.4,0,48.0,1271
2025-10-17T18:25:17.782000+00:00,9878,993.1,3.8,42.7,93,30.4,0,46.0,1271
2025-10-17T18:26:17.810000+00:00,9878,993.1,1.9,44.4,94,30.6,0,46.0,1271
2025-10-17T18:27:18.406000+00:00,9878,992.9,3.0,44.4,96,30.8,0,45.0,1271
2025-10-17T18:28:17.804000+00:00,9878,993.0,3.5,43.6,105,30.9,0,45.0,1271
2025-10-17T18:29:17.796000+00:00,9878,993.0,4.6,43.6,101,31.0,0,45.0,1271
2025-10-17T18:30:17.803000+00:00,9878,993.1,4.9,43.6,109,30.9,0,46.0,1271
2025-10-17T18:31:17.809000+00:00,9878,993.1,3.0,43.6,101,30.7,0,47.0,1271
2025-10-17T18:32:17.808000+00:00,9878,992.9,2.2,45.3,97,30.5,0,47.0,1271
2025-10-17T18:33:17.803000+00:00,9878,993.1,3.5,45.3,90,30.7,0,46.0,1271
2025-10-17T18:34:17.818000+00:00,9878,992.9,5.2,44.8,76,30.9,0,47.0,1271
2025-10-17T18:35:17.817000+00:00,9878,992.9,4.6,44.8,93,30.9,0,47.0,1271
2025-10-17T18:36:17.825000+00:00,9878,992.9,5.0,45.3,109,30.8,0,47.0,1271
